Latitud,Longitud,Fecha,Hora,FP_TI4,FP_TI5,FP_POWER,FP_CONFIDENCE,SCAN,TRACK
-13.02144,-45.32462,2023-08-13,03:32,307.04,288.47,5.89,55,0.53,0.67
-13.02349,-45.31475,2023-08-13,03:32,343.19,288.74,6.04,55,0.52,0.67
-13.02246,-45.3197,2023-08-13,03:32,344.18,290.05,6.04,55,0.52,0.67
-13.01834,-45.30848,2023-08-13,03:32,303.89,286.81,1.44,55,0.52,0.67
-13.01731,-45.31342,2023-08-13,03:32,303.55,287.52,2.15,55,0.52,0.67
-13.02608,-45.31301,2023-08-13,03:32,309.48,286.54,4.18,55,0.52,0.67
-13.0231,-45.32787,2023-08-13,03:32,315.64,288.42,6.11,55,0.53,0.67
-13.02508,-45.31798,2023-08-13,03:32,343.77,288.72,6.54,55,0.53,0.67
-13.02409,-45.32293,2023-08-13,03:32,341.22,289.53,6.54,55,0.53,0.67
-13.0189,-45.31664,2023-08-13,03:32,309.26,288.68,6.54,55,0.53,0.67
-13.01989,-45.31169,2023-08-13,03:32,333.59,288.87,4.18,55,0.52,0.67
-11.85769,-47.68036,2023-08-13,03:32,314.27,289.24,3.59,55,0.78,0.78
-12.28771,-45.17562,2023-08-13,03:32,302.99,288.04,1.11,55,0.53,0.67
-12.28668,-45.18061,2023-08-13,03:32,302.8,288.62,1.11,55,0.53,0.67
-12.2815,-45.17429,2023-08-13,03:32,302.16,288.0,1.45,55,0.53,0.67
-12.28434,-45.17387,2023-08-13,03:32,305.3,288.24,1.77,55,0.53,0.67
-12.28335,-45.17887,2023-08-13,03:32,306.66,288.86,2.92,55,0.53,0.67
-11.78455,-46.62472,2023-08-13,03:32,301.35,290.03,2.7,55,0.67,0.74
-11.7859,-46.61831,2023-08-13,03:32,323.32,289.85,2.7,55,0.67,0.74
-11.80892,-46.34167,2023-08-13,03:32,304.51,287.87,1.27,55,0.64,0.72
-11.80223,-46.34017,2023-08-13,03:32,302.35,288.23,1.27,55,0.64,0.72
-11.78421,-46.62545,2023-08-13,03:32,300.22,289.93,4.05,55,0.67,0.74
-11.78553,-46.61894,2023-08-13,03:32,323.59,289.91,4.19,55,0.67,0.74
-11.81358,-46.34289,2023-08-13,03:32,298.58,286.83,1.58,55,0.64,0.72
-11.80688,-46.34147,2023-08-13,03:32,306.47,288.23,1.58,55,0.64,0.72
-11.78544,-46.34369,2023-08-13,03:32,314.66,289.39,3.65,55,0.64,0.72
-11.78396,-46.35087,2023-08-13,03:32,312.06,290.24,2.53,55,0.64,0.72
-11.77732,-46.34915,2023-08-13,03:32,301.94,290.15,2.53,55,0.64,0.72
-11.77596,-46.35574,2023-08-13,03:32,313.1,290.65,2.53,55,0.65,0.73
-11.77465,-46.36209,2023-08-13,03:32,304.09,290.48,3.01,55,0.65,0.73
-11.76812,-46.35978,2023-08-13,03:32,322.26,289.77,2.99,55,0.65,0.73
-11.76163,-46.35727,2023-08-13,03:32,308.49,289.89,2.99,55,0.65,0.73
-11.76049,-46.36274,2023-08-13,03:32,326.26,291.18,2.99,55,0.65,0.73
-11.75629,-46.34922,2023-08-13,03:32,306.97,288.66,1.92,55,0.65,0.73
-11.75509,-46.355,2023-08-13,03:32,309.6,288.77,1.55,55,0.65,0.73
-11.74261,-46.3813,2023-08-13,03:32,313.08,291.59,3.25,55,0.65,0.73
